node_name,edge_name,name_of_component,severity
Mathematics,prerequisite_for,Statistics,high
Mathematics,applied_in,Physics,high
Mathematics,related_to,Logic,high
Statistics,used_in,Economics,high
Statistics,used_in,Social_Science,medium
Physics,applied_in,Chemistry,medium
Physics,related_to,Environmental_Science,medium
Chemistry,related_to,Biology,medium
Chemistry,applied_in,Environmental_Science,medium
Biology,studies,Neuroscience,medium
Neuroscience,applied_in,Psychology,medium
Psychology,overlaps_with,Anthropology,medium
Psychology,uses,Statistics,medium
Anthropology,studies,History,medium
Anthropology,related_to,Cultural_Studies,medium
History,informs,Political_Science,high
History,overlaps_with,Literature,medium
Political_Science,overlaps_with,Law,medium
Political_Science,influenced_by,Ethics,medium
Law,requires,Ethics,medium
Law,applied_in,Policy_Studies,medium
Philosophy,influences,Ethics,medium
Philosophy,prerequisite_for,Logic,medium
Logic,applied_in,Cognitive_Science,medium
Logic,connected_to,Mathematics,high
Cognitive_Science,applied_in,Education,medium
Education,teaches,Literature,medium
Education,uses,Data_Analysis,medium
Literature,studies,History,medium
Literature,connected_to,Arts,medium
Arts,influences,Literature,medium
Arts,overlaps_with,Music,medium
Music,related_to,Cultural_Studies,medium
Cultural_Studies,analyzes,Sociology,high
Sociology,studies,Social_Science,medium
Social_Science,applies_method,Statistics,medium
Social_Science,connected_to,Political_Science,medium
Environmental_Science,uses,Physics,medium
Environmental_Science,applied_in,Policy_Studies,medium
Policy_Studies,influences,Political_Science,medium
Geography,applied_in,Environmental_Science,medium
Data_Analysis,used_in,Statistics,medium
Computer_Science,studies,Information_Theory,medium
Computer_Science,applies,Data_Analysis,medium
Computer_Science,overlaps_with,Mathematics,medium

